"Item_Identifier","Item_Category","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Years_Open","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"Z30","NC",6.59,"Low Fat",0.026180032,"Household",120.7098,9,"OUT035","Small","Tier 2","Supermarket Type1",2530.7058
"I45","FD",13.1,"Low Fat",0.037734334,"Fruits and Vegetables",173.9054,4,"OUT018","Medium","Tier 3","Supermarket Type2",3677.2134
"K41","FD",14.3,"Low Fat",0.127435585,"Frozen Foods",86.8224,26,"OUT013","High","Tier 3","Supermarket Type1",852.224
"Q07","FD",15.1,"Regular",0.087762922,"Fruits and Vegetables",221.5456,4,"OUT018","Medium","Tier 3","Supermarket Type2",2873.5928
"E06","NC",5.825,"Low Fat",0.153127523,"Household",162.4894,15,"OUT010","Medium","Tier 3","Grocery Store",323.5788
"F11","FD",10.195,"Regular",0.017703044,"Starchy Foods",239.4538,4,"OUT018","Medium","Tier 3","Supermarket Type2",3605.307
"U51","FD",20.2,"Regular",0.096433359,"Meat",178.5028,26,"OUT013","High","Tier 3","Supermarket Type1",4604.6728
"H06","NC",12.3,"Low Fat",0.128136346,"Household",248.346,15,"OUT010","Medium","Tier 3","Grocery Store",985.384
"D38","FD",16.75,"Regular",0.008184912,"Canned",101.2674,26,"OUT013","High","Tier 3","Supermarket Type1",1528.011
"U07","FD",11.1,"Low Fat",0.059846975,"Fruits and Vegetables",150.1366,16,"OUT046","Small","Tier 1","Supermarket Type1",1813.6392
"K08","FD",9.195,"Regular",0.122494876,"Fruits and Vegetables",100.1016,14,"OUT049","Medium","Tier 1","Supermarket Type1",1416.8224
"W15","FD",12.8173442136499,"Regular",0.054846706,"Meat",147.3734,28,"OUT027","Medium","Tier 3","Supermarket Type3",3266.4148
"E21","FD",12.8,"Low Fat",0.022980361,"Fruits and Vegetables",117.7492,14,"OUT049","Medium","Tier 1","Supermarket Type1",1274.3412
"X28","FD",6.325,"Low Fat",0.125154452,"Frozen Foods",99.2042,9,"OUT035","Small","Tier 2","Supermarket Type1",1388.8588
"R50","NC",13.3847364953887,"Low Fat",0.011762847,"Household",153.534,28,"OUT027","Medium","Tier 3","Supermarket Type3",7503.566
"L27","FD",6.17,"Low Fat",0.010674255,"Meat",63.4826,4,"OUT018","Medium","Tier 3","Supermarket Type2",774.9912
"K14","FD",6.98,"Low Fat",0.041098016,"Canned",81.6934,9,"OUT035","Small","Tier 2","Supermarket Type1",818.934
"B07","NC",13.3847364953887,"Low Fat",0.077132215,"Household",197.411,28,"OUT027","Medium","Tier 3","Supermarket Type3",5892.33
"R53","NC",12.15,"Low Fat",0.145013434,"Health and Hygiene",225.0404,9,"OUT035","Small","Tier 2","Supermarket Type1",4950.8888
"B60","FD",9.3,"Low Fat",0.028683422,"Baking Goods",195.8136,6,"OUT017","Small","Tier 2","Supermarket Type1",3693.8584
"W48","FD",18,"Low Fat",0.008554102,"Baking Goods",79.3618,14,"OUT049","Medium","Tier 1","Supermarket Type1",805.618
"R55","FD",12.15,"Regular",0.132058566,"Fruits and Vegetables",187.5872,9,"OUT035","Small","Tier 2","Supermarket Type1",4349.0056
"O22","FD",13.5,"Regular",0.017895691,"Snack Foods",79.496,11,"OUT045","Small","Tier 2","Supermarket Type1",1597.92
"L48","FD",19.35,"Regular",0.082731751,"Baking Goods",49.2034,6,"OUT017","Small","Tier 2","Supermarket Type1",777.6544
"Z05","NC",8.485,"Low Fat",0.058083831,"Health and Hygiene",103.199,26,"OUT013","High","Tier 3","Supermarket Type1",722.393
"O25","FD",6.3,"Low Fat",0.127449031,"Canned",210.527,16,"OUT046","Small","Tier 1","Supermarket Type1",6291.81
"F47","FD",20.85,"Low Fat",0.097536998,"Starchy Foods",225.3746,26,"OUT013","High","Tier 3","Supermarket Type1",3365.619
"Y40","FD",15.5,"Regular",0.143670179,"Frozen Foods",48.4692,15,"OUT010","Medium","Tier 3","Grocery Store",49.2692
"R25","FD",17,"Regular",0.139804885,"Canned",265.7884,11,"OUT045","Small","Tier 2","Supermarket Type1",3974.826
"D59","FD",13.6907307692308,"Regular",0.065860323,"Starchy Foods",81.896,28,"OUT027","Medium","Tier 3","Supermarket Type3",1677.816
"X38","FD",10.5,"Regular",0.0481669,"Dairy",48.8376,26,"OUT013","High","Tier 3","Supermarket Type1",671.1264
"E26","FD",9.3,"Low Fat",0.089005769,"Canned",143.9786,16,"OUT046","Small","Tier 1","Supermarket Type1",2745.0934
"H48","FD",12.2771082089552,"Low Fat",0.105893301,"Baking Goods",86.254,28,"OUT019","Small","Tier 1","Grocery Store",519.324
"K29","NC",5.615,"Low Fat",0.12566436,"Health and Hygiene",123.473,26,"OUT013","High","Tier 3","Supermarket Type1",1231.73
"F54","NC",18,"Low Fat",0.047377053,"Household",171.1422,16,"OUT046","Small","Tier 1","Supermarket Type1",2931.5174
"I38","FD",13.35,"Regular",0,"Canned",206.9638,6,"OUT017","Small","Tier 2","Supermarket Type1",7247.233
"J07","FD",12.8173442136499,"Low Fat",0.014353676,"Meat",115.515,28,"OUT027","Medium","Tier 3","Supermarket Type3",1631.21
"S55","FD",7.02,"Low Fat",0,"Fruits and Vegetables",148.1734,4,"OUT018","Medium","Tier 3","Supermarket Type2",890.8404
"X53","NC",20.1,"Low Fat",0.025002878,"Health and Hygiene",140.4154,15,"OUT010","Medium","Tier 3","Grocery Store",567.2616
"P55","NC",14.65,"Low Fat",0,"Others",53.8614,9,"OUT035","Small","Tier 2","Supermarket Type1",1105.228
"V04","FD",7.825,"Regular",0.150015234,"Frozen Foods",157.5288,16,"OUT046","Small","Tier 1","Supermarket Type1",942.7728
"V40","FD",17.35,"Low Fat",0.014691784,"Frozen Foods",74.1038,16,"OUT046","Small","Tier 1","Supermarket Type1",960.7494
"N30","NC",16.35,"Low Fat",0.017062427,"Household",98.141,4,"OUT018","Medium","Tier 3","Supermarket Type2",1544.656
"T57","FD",15.2,"Low Fat",0.019142452,"Snack Foods",237.5248,6,"OUT017","Small","Tier 2","Supermarket Type1",3318.3472
"I52","FD",18.7,"Low Fat",0.104890428,"Frozen Foods",121.4072,11,"OUT045","Small","Tier 2","Supermarket Type1",3185.1872
"T57","FD",15.2,"Low Fat",0.019018943,"Snack Foods",238.7248,26,"OUT013","High","Tier 3","Supermarket Type1",1659.1736
"K33","FD",17.85,"Low Fat",0.011233126,"Snack Foods",211.556,9,"OUT035","Small","Tier 2","Supermarket Type1",5752.512
"Q39","FD",14.8,"Low Fat",0.081026811,"Meat",190.0846,9,"OUT035","Small","Tier 2","Supermarket Type1",4586.0304
"R23","FD",15.85,"Low Fat",0.081953387,"Breads",176.237,11,"OUT045","Small","Tier 2","Supermarket Type1",2646.555
"X47","FD",11.3469362745098,"Regular",0.060587738,"Breads",156.8288,28,"OUT019","Small","Tier 1","Grocery Store",471.3864
"P35","DR",18.85,"Low Fat",0.090850115,"Hard Drinks",126.6336,9,"OUT035","Small","Tier 2","Supermarket Type1",1150.5024
"U26","FD",16.7,"Regular",0.071335395,"Dairy",120.3782,15,"OUT010","Medium","Tier 3","Grocery Store",119.1782
"R39","FD",20.35,"Low Fat",0.083929569,"Meat",182.4292,14,"OUT049","Medium","Tier 1","Supermarket Type1",4925.5884
"V48","FD",9.195,"Regular",0.086396038,"Baking Goods",79.0644,15,"OUT010","Medium","Tier 3","Grocery Store",157.1288
"G18","NC",15.3,"Low Fat",0.023071504,"Household",101.8332,4,"OUT018","Medium","Tier 3","Supermarket Type2",1025.332
"D42","NC",16.5,"Low Fat",0.012627329,"Health and Hygiene",38.7506,26,"OUT013","High","Tier 3","Supermarket Type1",759.012
"P59","FD",20.85,"Regular",0.094512029,"Breads",104.5648,15,"OUT010","Medium","Tier 3","Grocery Store",207.7296
"F34","FD",12.9878795546559,"Regular",0.013951504,"Snack Foods",199.9084,28,"OUT027","Medium","Tier 3","Supermarket Type3",5753.8436
"D15","DR",10.6,"Low Fat",0.056785183,"Dairy",231.9642,9,"OUT035","Small","Tier 2","Supermarket Type1",2091.2778
"P03","FD",5.15,"Regular",0.06117708,"Meat",121.8388,16,"OUT046","Small","Tier 1","Supermarket Type1",3219.8088
"O20","FD",12.85,"Regular",0.152099033,"Fruits and Vegetables",252.6382,9,"OUT035","Small","Tier 2","Supermarket Type1",3532.7348
"Y30","NC",20.25,"Low Fat",0.02594835,"Household",180.0976,9,"OUT035","Small","Tier 2","Supermarket Type1",3440.8544
"H37","DR",17.6,"Low Fat",0.041581725,"Soft Drinks",163.3526,26,"OUT013","High","Tier 3","Supermarket Type1",3453.5046
"T10","FD",16.7,"Regular",0.103849783,"Snack Foods",58.8562,15,"OUT010","Medium","Tier 3","Grocery Store",59.2562
"F35","FD",15,"Low Fat",0.154301621,"Starchy Foods",105.9938,11,"OUT045","Small","Tier 2","Supermarket Type1",428.7752
"G10","FD",6.63,"Regular",0.010937229,"Snack Foods",55.8588,9,"OUT035","Small","Tier 2","Supermarket Type1",801.6232
"K03","FD",13.4260689045936,"Regular",0.073562475,"Dairy",254.9356,28,"OUT027","Medium","Tier 3","Supermarket Type3",8138.7392
"G20","FD",15.5,"Regular",0.125687917,"Fruits and Vegetables",178.2028,16,"OUT046","Small","Tier 1","Supermarket Type1",1416.8224
"L07","NC",13.8532846715328,"Low Fat",0.0311868,"Others",39.548,28,"OUT027","Medium","Tier 3","Supermarket Type3",759.012
"D49","DR",9.895,"Low Fat",0.167831064,"Soft Drinks",237.4564,16,"OUT046","Small","Tier 1","Supermarket Type1",715.0692
"G55","NC",16.25,"Low Fat",0,"Household",115.2176,6,"OUT017","Small","Tier 2","Supermarket Type1",3206.4928
"R19","FD",13.5,"Regular",0.160624116,"Fruits and Vegetables",147.0102,6,"OUT017","Small","Tier 2","Supermarket Type1",2770.3938
"M54","NC",17.7,"Low Fat",0.050929429,"Household",129.1678,9,"OUT035","Small","Tier 2","Supermarket Type1",1780.3492
"Z44","FD",13.2247693817468,"Low Fat",0.06780958,"Fruits and Vegetables",118.1808,28,"OUT019","Small","Tier 1","Grocery Store",234.3616
"R28","FD",13.85,"Regular",0.026042966,"Frozen Foods",161.221,6,"OUT017","Small","Tier 2","Supermarket Type1",1794.331
"B51","FD",6.92,"Low Fat",0.038610722,"Dairy",61.4852,4,"OUT018","Medium","Tier 3","Supermarket Type2",1314.2892
"J59","DR",11.65,"Low Fat",0.019372253,"Hard Drinks",40.6164,16,"OUT046","Small","Tier 1","Supermarket Type1",308.9312
"Z43","FD",11,"Regular",0.057290978,"Fruits and Vegetables",242.7512,4,"OUT018","Medium","Tier 3","Supermarket Type2",1938.8096
"C54","NC",17.75,"Low Fat",0.097909084,"Health and Hygiene",242.1196,11,"OUT045","Small","Tier 2","Supermarket Type1",4097.3332
"Q11","FD",5.695,"Regular",0.067688124,"Breads",258.8988,9,"OUT035","Small","Tier 2","Supermarket Type1",5396.9748
"H03","DR",17.25,"Low Fat",0.035207155,"Dairy",93.512,4,"OUT018","Medium","Tier 3","Supermarket Type2",1491.392
"X38","FD",10.5,"Regular",0.080688663,"Dairy",46.7376,15,"OUT010","Medium","Tier 3","Grocery Store",47.9376
"H36","DR",16.2,"Low Fat",0.033447756,"Soft Drinks",73.9696,11,"OUT045","Small","Tier 2","Supermarket Type1",894.8352
"B06","NC",17.6,"Low Fat",0.082797778,"Health and Hygiene",161.492,6,"OUT017","Small","Tier 2","Supermarket Type1",3515.424
"R33","FD",7.31,"Low Fat",0.026940466,"Snack Foods",108.457,6,"OUT017","Small","Tier 2","Supermarket Type1",2306.997
"E47","FD",14.15,"Low Fat",0.037877202,"Starchy Foods",124.0046,26,"OUT013","High","Tier 3","Supermarket Type1",1618.5598
"A10","FD",12.9878795546559,"Low Fat",0.141129263,"Snack Foods",121.6072,28,"OUT027","Medium","Tier 3","Supermarket Type3",3430.2016
"I01","DR",7.97,"Low Fat",0.034424278,"Soft Drinks",171.8422,26,"OUT013","High","Tier 3","Supermarket Type1",2069.3064
"J54","NC",9.895,"Low Fat",0.060067115,"Household",230.6642,16,"OUT046","Small","Tier 1","Supermarket Type1",4647.284
"T14","FD",10.695,"Regular",0.127727102,"Dairy",121.144,16,"OUT046","Small","Tier 1","Supermarket Type1",1917.504
"L49","DR",13.15,"Low Fat",0.05674821,"Soft Drinks",144.3812,6,"OUT017","Small","Tier 2","Supermarket Type1",284.9624
"I18","NC",18.35,"Low Fat",0.014052469,"Household",224.0746,11,"OUT045","Small","Tier 2","Supermarket Type1",1346.2476
"C38","FD",15.7,"Low Fat",0.122684413,"Canned",132.2942,14,"OUT049","Medium","Tier 1","Supermarket Type1",2252.4014
"S56","FD",5.785,"Regular",0.038724612,"Fruits and Vegetables",263.9252,26,"OUT013","High","Tier 3","Supermarket Type1",6033.4796
"X19","FD",19.1,"Low Fat",0.09688421,"Fruits and Vegetables",233.5958,14,"OUT049","Medium","Tier 1","Supermarket Type1",2336.958
"U36","FD",12.2771082089552,"Low Fat",0,"Baking Goods",100.1384,28,"OUT027","Medium","Tier 3","Supermarket Type3",2956.152
"O44","FD",12.6,"Low Fat",0.087380432,"Fruits and Vegetables",109.7228,26,"OUT013","High","Tier 3","Supermarket Type1",1547.3192
"G57","FD",14.7,"Low Fat",0.072707309,"Fruits and Vegetables",49.5034,6,"OUT017","Small","Tier 2","Supermarket Type1",291.6204
"V20","FD",20.2,"Regular",0.059894378,"Fruits and Vegetables",125.9678,14,"OUT049","Medium","Tier 1","Supermarket Type1",2797.6916
"E47","FD",14.15,"Low Fat",0.037901581,"Starchy Foods",126.3046,9,"OUT035","Small","Tier 2","Supermarket Type1",2614.5966
"U32","FD",13.2247693817468,"Low Fat",0.025841875,"Fruits and Vegetables",120.7414,28,"OUT027","Medium","Tier 3","Supermarket Type3",4386.2904
"B06","NC",13.1423139534884,"Low Fat",0.081933378,"Health and Hygiene",161.492,28,"OUT027","Medium","Tier 3","Supermarket Type3",6391.68
"V46","FD",18.2,"Low Fat",0.012627478,"Snack Foods",140.818,14,"OUT049","Medium","Tier 1","Supermarket Type1",3495.45
"P45","FD",12.9878795546559,"Regular",0.030476541,"Snack Foods",252.2724,28,"OUT027","Medium","Tier 3","Supermarket Type3",5033.448
"K03","FD",12.6,"Regular",0.074070351,"Dairy",254.2356,11,"OUT045","Small","Tier 2","Supermarket Type1",4578.0408
"X37","FD",16.2,"Low Fat",0.063017421,"Canned",100.37,9,"OUT035","Small","Tier 2","Supermarket Type1",998.7
"X58","FD",13.15,"Low Fat",0.043727261,"Snack Foods",182.595,26,"OUT013","High","Tier 3","Supermarket Type1",3478.805
"Q46","FD",7.51,"Low Fat",0.104023565,"Snack Foods",112.4544,11,"OUT045","Small","Tier 2","Supermarket Type1",2013.3792
"L13","FD",13.85,"Regular",0.056271701,"Breakfast",232.23,26,"OUT013","High","Tier 3","Supermarket Type1",1398.18
"T30","NC",9.1,"Low Fat",0.080619969,"Household",47.4718,4,"OUT018","Medium","Tier 3","Supermarket Type2",472.718
"P20","FD",19.85,"Low Fat",0.045761855,"Fruits and Vegetables",125.602,11,"OUT045","Small","Tier 2","Supermarket Type1",632.51
"H40","FD",11.6,"Regular",0.078863888,"Frozen Foods",83.2276,26,"OUT013","High","Tier 3","Supermarket Type1",1543.3244
"Z25","FD",15.7,"Regular",0.027729547,"Canned",169.379,4,"OUT018","Medium","Tier 3","Supermarket Type2",1528.011
"U27","FD",12.8173442136499,"Regular",0.170646494,"Meat",46.3376,28,"OUT027","Medium","Tier 3","Supermarket Type3",2109.2544
"Q42","NC",20.35,"Low Fat",0.039235527,"Household",127.2678,26,"OUT013","High","Tier 3","Supermarket Type1",1017.3424
"U31","FD",10.5,"Regular",0.02502991,"Fruits and Vegetables",218.4508,14,"OUT049","Medium","Tier 1","Supermarket Type1",2821.6604
"C35","FD",7.435,"Low Fat",0.205605116,"Starchy Foods",207.7638,15,"OUT010","Medium","Tier 3","Grocery Store",621.1914
"X43","FD",5.655,"Low Fat",0.085622362,"Fruits and Vegetables",167.25,4,"OUT018","Medium","Tier 3","Supermarket Type2",2330.3
"U07","FD",11.1,"Low Fat",0.059968347,"Fruits and Vegetables",152.8366,11,"OUT045","Small","Tier 2","Supermarket Type1",1662.5026
"D13","DR",15,"Low Fat",0.049038621,"Soft Drinks",65.4168,26,"OUT013","High","Tier 3","Supermarket Type1",1661.8368
"K49","DR",14.15,"Low Fat",0.036147029,"Soft Drinks",39.3138,6,"OUT017","Small","Tier 2","Supermarket Type1",527.9794
"L12","FD",12.2771082089552,"Regular",0.212963193,"Baking Goods",59.522,28,"OUT019","Small","Tier 1","Grocery Store",299.61
"Z08","FD",12.5,"Regular",0.110614538,"Fruits and Vegetables",80.6592,6,"OUT017","Small","Tier 2","Supermarket Type1",1651.184
"A10","FD",20.35,"Low Fat",0.142393712,"Snack Foods",122.7072,4,"OUT018","Medium","Tier 3","Supermarket Type2",1470.0864
"S20","FD",8.85,"Low Fat",0.053976156,"Fruits and Vegetables",181.5292,11,"OUT045","Small","Tier 2","Supermarket Type1",1277.0044
"A07","FD",7.55,"Regular",0.03107068,"Fruits and Vegetables",122.4072,4,"OUT018","Medium","Tier 3","Supermarket Type2",857.5504
"R08","FD",18.7,"Low Fat",0.03761584,"Fruits and Vegetables",109.1886,9,"OUT035","Small","Tier 2","Supermarket Type1",1890.2062
"M44","FD",13.2247693817468,"Low Fat",0.054363971,"Fruits and Vegetables",105.099,28,"OUT019","Small","Tier 1","Grocery Store",103.199
"I22","FD",12.6,"Low Fat",0.161039887,"Snack Foods",210.2612,15,"OUT010","Medium","Tier 3","Grocery Store",418.1224
"M07","NC",9.395,"Low Fat",0.040023967,"Others",85.5908,14,"OUT049","Medium","Tier 1","Supermarket Type1",1006.6896
"N46","FD",7.21,"Regular",0,"Snack Foods",103.1332,6,"OUT017","Small","Tier 2","Supermarket Type1",3281.0624
"W53","NC",18.35,"Low Fat",0.030619301,"Health and Hygiene",194.0162,4,"OUT018","Medium","Tier 3","Supermarket Type2",2886.243
"Z51","FD",11.3,"Regular",0.054637635,"Meat",93.3094,14,"OUT049","Medium","Tier 1","Supermarket Type1",3046.7008
"T04","FD",17.25,"Low Fat",0,"Frozen Foods",40.8822,4,"OUT018","Medium","Tier 3","Supermarket Type2",628.5152
"Z48","FD",12.2771082089552,"Low Fat",0.132995494,"Baking Goods",113.5544,28,"OUT019","Small","Tier 1","Grocery Store",223.7088
"A08","FD",11.85,"Regular",0.050085152,"Fruits and Vegetables",164.7526,16,"OUT046","Small","Tier 1","Supermarket Type1",1315.6208
"N37","DR",9.6,"Low Fat",0.096689673,"Soft Drinks",168.0158,4,"OUT018","Medium","Tier 3","Supermarket Type2",1336.9264
"D35","FD",12.15,"Low Fat",0.026010729,"Starchy Foods",119.144,6,"OUT017","Small","Tier 2","Supermarket Type1",2157.192
"Z48","FD",17.75,"Low Fat",0.075959623,"Baking Goods",112.4544,16,"OUT046","Small","Tier 1","Supermarket Type1",2460.7968
"N54","NC",20.35,"Low Fat",0.021413346,"Household",76.2328,4,"OUT018","Medium","Tier 3","Supermarket Type2",463.3968
"U32","FD",8.785,"Low Fat",0,"Fruits and Vegetables",120.5414,26,"OUT013","High","Tier 3","Supermarket Type1",1583.9382
"K41","FD",12.867061281337,"Low Fat",0.126924095,"Frozen Foods",87.2224,28,"OUT027","Medium","Tier 3","Supermarket Type3",3494.1184
"R44","FD",6.11,"Regular",0.103340142,"Fruits and Vegetables",131.2968,4,"OUT018","Medium","Tier 3","Supermarket Type2",913.4776
"K29","NC",13.1423139534884,"Low Fat",0,"Health and Hygiene",125.173,28,"OUT027","Medium","Tier 3","Supermarket Type3",3572.017
"T09","FD",15.15,"Regular",0.012288171,"Snack Foods",129.9284,11,"OUT045","Small","Tier 2","Supermarket Type1",2241.0828
"R11","FD",10.5,"Regular",0.142827296,"Breads",159.4578,11,"OUT045","Small","Tier 2","Supermarket Type1",3048.6982
"D57","FD",13.2247693817468,"Low Fat",0.022291121,"Fruits and Vegetables",93.6094,28,"OUT027","Medium","Tier 3","Supermarket Type3",3713.1666
"T10","FD",16.7,"Regular",0.061992874,"Snack Foods",60.9562,26,"OUT013","High","Tier 3","Supermarket Type1",355.5372
"R51","FD",9.035,"Regular",0.17417636,"Meat",148.9708,4,"OUT018","Medium","Tier 3","Supermarket Type2",2257.062
"K17","NC",11,"Low Fat",0.037953762,"Health and Hygiene",38.448,14,"OUT049","Medium","Tier 1","Supermarket Type1",1198.44
"Y07","FD",11.8,"Low Fat",0.122289654,"Fruits and Vegetables",46.3402,6,"OUT017","Small","Tier 2","Supermarket Type1",275.6412
"T14","FD",10.695,"Regular",0.128247408,"Dairy",121.844,4,"OUT018","Medium","Tier 3","Supermarket Type2",2277.036
"J21","FD",12.9878795546559,"Regular",0.038341654,"Snack Foods",146.2102,28,"OUT027","Medium","Tier 3","Supermarket Type3",4228.4958
"R42","NC",9.105,"Low Fat",0.038699553,"Household",33.79,6,"OUT017","Small","Tier 2","Supermarket Type1",199.74
"G37","DR",16.2,"Low Fat",0.01940856,"Soft Drinks",156.7972,14,"OUT049","Medium","Tier 1","Supermarket Type1",3739.1328
"I24","FD",12.2771082089552,"Low Fat",0.137870237,"Baking Goods",175.037,28,"OUT019","Small","Tier 1","Grocery Store",352.874
"J22","FD",18.75,"Low Fat",0.052800258,"Snack Foods",193.2504,9,"OUT035","Small","Tier 2","Supermarket Type1",2684.5056
"T28","FD",13.3,"Low Fat",0.06355415,"Frozen Foods",149.4708,9,"OUT035","Small","Tier 2","Supermarket Type1",1354.2372
"H38","FD",6.425,"Low Fat",0.01043823,"Canned",115.8808,16,"OUT046","Small","Tier 1","Supermarket Type1",1757.712
"T43","FD",16.35,"Low Fat",0.020589623,"Fruits and Vegetables",53.2324,11,"OUT045","Small","Tier 2","Supermarket Type1",727.0536
"X04","FD",19.6,"Regular",0.041806702,"Frozen Foods",48.8376,6,"OUT017","Small","Tier 2","Supermarket Type1",527.3136
"V46","FD",18.2,"Low Fat",0.012679191,"Snack Foods",139.818,6,"OUT017","Small","Tier 2","Supermarket Type1",838.908
"P10","FD",19,"Low Fat",0.128289285,"Snack Foods",104.9622,14,"OUT049","Medium","Tier 1","Supermarket Type1",1164.4842
"A53","NC",11.395,"Low Fat",0.009878459,"Health and Hygiene",47.6034,16,"OUT046","Small","Tier 1","Supermarket Type1",1312.2918
"L52","FD",6.635,"Regular",0.046090204,"Frozen Foods",37.1506,16,"OUT046","Small","Tier 1","Supermarket Type1",834.9132
"Q32","FD",17.85,"Regular",0.046680961,"Fruits and Vegetables",121.9388,14,"OUT049","Medium","Tier 1","Supermarket Type1",3962.8416
"T37","FD",14.15,"Low Fat",0.03546967,"Canned",256.3014,6,"OUT017","Small","Tier 2","Supermarket Type1",4845.0266
"O43","NC",5.5,"Low Fat",0.047290068,"Others",100.5016,4,"OUT018","Medium","Tier 3","Supermarket Type2",1416.8224
"I53","FD",8.895,"Regular",0.13842353,"Frozen Foods",163.0236,6,"OUT017","Small","Tier 2","Supermarket Type1",1127.8652
"O19","FD",17.7,"Regular",0.027779381,"Fruits and Vegetables",50.1034,15,"OUT010","Medium","Tier 3","Grocery Store",97.2068
"G12","FD",12.2771082089552,"Regular",0,"Baking Goods",121.3098,28,"OUT019","Small","Tier 1","Grocery Store",120.5098
"G53","FD",10,"Low Fat",0.046043736,"Frozen Foods",140.618,4,"OUT018","Medium","Tier 3","Supermarket Type2",2376.906
"K36","FD",7.09,"Low Fat",0.007215314,"Baking Goods",47.6034,16,"OUT046","Small","Tier 1","Supermarket Type1",1458.102
"R55","FD",12.15,"Regular",0.132083542,"Fruits and Vegetables",189.5872,16,"OUT046","Small","Tier 1","Supermarket Type1",3403.5696
"V16","FD",7.75,"Regular",0.083399788,"Frozen Foods",34.5558,6,"OUT017","Small","Tier 2","Supermarket Type1",441.4254
"S31","FD",13.2247693817468,"Regular",0.043978369,"Fruits and Vegetables",178.4318,28,"OUT027","Medium","Tier 3","Supermarket Type3",2526.0452
"K06","NC",5.03,"Low Fat",0.008639333,"Household",122.2756,26,"OUT013","High","Tier 3","Supermarket Type1",2059.9852
"N03","FD",9.8,"Regular",0.015089965,"Meat",249.6408,16,"OUT046","Small","Tier 1","Supermarket Type1",1001.3632
"T30","NC",13.3847364953887,"Low Fat",0.140582485,"Household",47.1718,28,"OUT019","Small","Tier 1","Grocery Store",141.8154
"C50","FD",15.85,"Low Fat",0.228469522,"Canned",93.3094,15,"OUT010","Medium","Tier 3","Grocery Store",285.6282
"E11","FD",17.7,"Regular",0,"Starchy Foods",183.5924,9,"OUT035","Small","Tier 2","Supermarket Type1",7033.5112
"M03","FD",12.65,"Low Fat",0.123007534,"Meat",106.0938,9,"OUT035","Small","Tier 2","Supermarket Type1",2679.845
"P05","NC",19.6,"Low Fat",0,"Health and Hygiene",150.3024,4,"OUT018","Medium","Tier 3","Supermarket Type2",2580.6408
"J41","FD",6.85,"Low Fat",0.02288328,"Frozen Foods",261.2594,16,"OUT046","Small","Tier 1","Supermarket Type1",2878.2534
"R47","FD",11.3469362745098,"Low Fat",0.087045086,"Breads",196.7794,28,"OUT027","Medium","Tier 3","Supermarket Type3",6242.5408
"K36","FD",7.09,"Low Fat",0.007256127,"Baking Goods",50.4034,6,"OUT017","Small","Tier 2","Supermarket Type1",340.2238
"Q23","FD",6.55,"Low Fat",0.024664556,"Breads",103.3332,6,"OUT017","Small","Tier 2","Supermarket Type1",2050.664
"K42","NC",13.3847364953887,"Low Fat",0.013056494,"Household",215.9192,28,"OUT027","Medium","Tier 3","Supermarket Type3",7334.4528
"O06","NC",19.25,"Low Fat",0.180820798,"Household",35.9558,15,"OUT010","Medium","Tier 3","Grocery Store",67.9116
"V24","FD",5.635,"Low Fat",0.103693024,"Baking Goods",149.905,4,"OUT018","Medium","Tier 3","Supermarket Type2",2546.685
"K40","FD",7.035,"Low Fat",0.021849398,"Frozen Foods",262.091,16,"OUT046","Small","Tier 1","Supermarket Type1",4207.856
"T23","FD",7.72,"Regular",0.074731477,"Breads",77.5986,16,"OUT046","Small","Tier 1","Supermarket Type1",1947.465
"B50","FD",13,"Low Fat",0.154244343,"Canned",77.9986,4,"OUT018","Medium","Tier 3","Supermarket Type2",1168.479
"F43","NC",8.51,"Low Fat",0,"Household",142.147,14,"OUT049","Medium","Tier 1","Supermarket Type1",1717.764
"U26","FD",13.4260689045936,"Regular",0.042412572,"Dairy",119.0782,28,"OUT027","Medium","Tier 3","Supermarket Type3",1549.3166
"C10","FD",9.8,"Regular",0.072990979,"Snack Foods",121.6098,14,"OUT049","Medium","Tier 1","Supermarket Type1",1566.6274
"K51","FD",19.85,"Low Fat",0.005243282,"Dairy",266.1884,14,"OUT049","Medium","Tier 1","Supermarket Type1",3179.8608
"V09","FD",12.1,"Low Fat",0.034427577,"Snack Foods",146.6734,15,"OUT010","Medium","Tier 3","Grocery Store",296.9468
"L37","DR",15.5,"Low Fat",0.053455158,"Soft Drinks",43.677,14,"OUT049","Medium","Tier 1","Supermarket Type1",562.601
"Q45","FD",9.5,"Regular",0,"Snack Foods",182.3608,15,"OUT010","Medium","Tier 3","Grocery Store",1102.5648
"O45","FD",12.9878795546559,"Regular",0.037768989,"Snack Foods",88.5856,28,"OUT027","Medium","Tier 3","Supermarket Type3",1845.5976
"P27","FD",8.155,"Low Fat",0.119428052,"Meat",190.853,9,"OUT035","Small","Tier 2","Supermarket Type1",2466.789
"E07","NC",8.18,"Low Fat",0.013183517,"Household",143.1154,4,"OUT018","Medium","Tier 3","Supermarket Type2",1843.6002
"L26","FD",12.3057050092764,"Low Fat",0.072838381,"Canned",155.2972,28,"OUT027","Medium","Tier 3","Supermarket Type3",5141.3076
